home_team,away_team,event_date,event_time,matchday,event_timestamp,home_team_id,away_team_id,is_planned_tf
FK Jablonec,FK Pardubice,2025-04-12,00:00,29,2025-04-12 00:00:00,7,4,True
FK Pardubice,AC Sparta Praha,2025-04-19,00:00,30,2025-04-19 00:00:00,4,6,True
FC Baník Ostrava,FK Jablonec,2024-07-28,17:00,2,2024-07-28 17:00:00,5,7,False
FC Baník Ostrava,FC Hradec Králové,2024-08-11,17:00,4,2024-08-11 17:00:00,5,8,False
1. FC Slovácko,FC Baník Ostrava,2024-08-18,20:00,5,2024-08-18 20:00:00,16,5,False
FC Baník Ostrava,FC Slovan Liberec,2024-08-25,14:30,6,2024-08-25 14:30:00,5,12,False
MFK Karviná,FC Baník Ostrava,2024-08-28,18:00,3,2024-08-28 18:00:00,9,5,False
SK Sigma Olomouc,FC Baník Ostrava,2024-09-01,14:30,7,2024-09-01 14:30:00,14,5,False
FK Teplice,FC Baník Ostrava,2024-09-21,16:00,9,2024-09-21 16:00:00,11,5,False
FC Baník Ostrava,SK Dynamo České Budějovice,2024-09-29,13:00,10,2024-09-29 13:00:00,5,10,False
FC Baník Ostrava,FC Viktoria Plzeň,2024-10-19,16:00,12,2024-10-19 16:00:00,5,13,False
AC Sparta Praha,FC Baník Ostrava,2024-11-02,19:00,14,2024-11-02 19:00:00,6,5,False
FC Baník Ostrava,FK Dukla Praha,2024-11-09,13:30,15,2024-11-09 13:30:00,5,15,False
FK Jablonec,FC Baník Ostrava,2024-11-23,13:30,16,2024-11-23 13:30:00,7,5,False
FC Baník Ostrava,MFK Karviná,2024-11-30,16:00,17,2024-11-30 16:00:00,5,9,False
FC Hradec Králové,FC Baník Ostrava,2024-12-08,18:30,18,2024-12-08 18:30:00,8,5,False
FC Baník Ostrava,1. FC Slovácko,2024-12-14,19:00,19,2024-12-14 19:00:00,5,16,False
FC Slovan Liberec,FC Baník Ostrava,2025-02-01,16:00,20,2025-02-01 16:00:00,12,5,False
FC Baník Ostrava,SK Sigma Olomouc,2025-02-09,15:30,21,2025-02-09 15:30:00,5,14,False
FC Baník Ostrava,FK Teplice,2025-02-22,16:00,23,2025-02-22 16:00:00,5,11,False
SK Dynamo České Budějovice,FC Baník Ostrava,2025-03-01,13:30,24,2025-03-01 13:30:00,10,5,False
FC Viktoria Plzeň,FC Baník Ostrava,2025-03-16,15:30,26,2025-03-16 15:30:00,13,5,True
FC Baník Ostrava,AC Sparta Praha,2025-04-05,16:00,28,2025-04-05 16:00:00,5,6,True
FK Dukla Praha,FC Baník Ostrava,2025-04-12,00:00,29,2025-04-12 00:00:00,15,5,True
FK Teplice,AC Sparta Praha,2024-07-27,17:00,2,2024-07-27 17:00:00,11,6,False
AC Sparta Praha,FK Dukla Praha,2024-08-02,20:00,3,2024-08-02 20:00:00,6,15,False
FK Jablonec,AC Sparta Praha,2024-08-17,20:00,5,2024-08-17 20:00:00,7,6,False
AC Sparta Praha,1. FC Slovácko,2024-08-24,17:00,6,2024-08-24 17:00:00,6,16,False
FC Hradec Králové,AC Sparta Praha,2024-08-31,20:00,7,2024-08-31 20:00:00,8,6,False
SK Dynamo České Budějovice,AC Sparta Praha,2024-09-22,15:30,9,2024-09-22 15:30:00,10,6,False
AC Sparta Praha,SK Sigma Olomouc,2024-09-27,19:30,10,2024-09-27 19:30:00,6,14,False
AC Sparta Praha,FC Slovan Liberec,2024-10-19,19:00,12,2024-10-19 19:00:00,6,12,False
FC Viktoria Plzeň,AC Sparta Praha,2024-10-27,18:30,13,2024-10-27 18:30:00,13,6,False
AC Sparta Praha,FK Teplice,2024-11-23,16:00,16,2024-11-23 16:00:00,6,11,False
FK Dukla Praha,AC Sparta Praha,2024-11-30,19:00,17,2024-11-30 19:00:00,15,6,False
AC Sparta Praha,MFK Karviná,2024-12-03,19:00,8,2024-12-03 19:00:00,6,9,False
AC Sparta Praha,FK Jablonec,2024-12-15,13:00,19,2024-12-15 13:00:00,6,7,False
1. FC Slovácko,AC Sparta Praha,2025-02-02,13:00,20,2025-02-02 13:00:00,16,6,False
AC Sparta Praha,FC Hradec Králové,2025-02-09,18:30,21,2025-02-09 18:30:00,6,8,False
